location,date_full,month,day,year,coordinates,link,latitude,longitude,notes/questions
Whitehurst Freeway - 26th/27th and K NW,7/18/17,July,18,2017,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
NoMa - Underpass(es),7/20/17,July,20,2017,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
Massachusetts Avenue and 2nd Street NW,7/25/17,July,25,2017,"38.899614, -77.013836",https://goo.gl/maps/ESUyJsmCa9Tw2B837,38.899614,-77.013836,
3rd Street and G Street NW,8/22/17,August,22,2017,"38.898328, -77.015230",https://goo.gl/maps/EmzwCh4st6RAK8Qr9,38.898328,-77.01523,
2210 Adams Place NE,8/24/17,August,24,2017,"38.919279, -76.974644",https://goo.gl/maps/w49bjYjmFxYuukmZA,38.919279,-76.974644,
NoMa - First Street NE,8/24/17,August,24,2017,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
6001 Georgia Avenue NW,8/29/17,August,29,2017,"38.963136, -77.027389",https://goo.gl/maps/6t5GKpzZxKqYbXa29,38.963136,-77.027389,
2016 Georgia Avenue NW,8/29/17,August,29,2017,"38.916897, -77.022155",https://goo.gl/maps/V4NBfP7uBfXnuSLw9,38.916897,-77.022155,
Whitehurst Freeway - 26th/27th and K NW,9/19/17,September,19,2017,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
2016 Georgia Avenue NW,9/21/17,September,21,2017,"38.916897, -77.022155",https://goo.gl/maps/V4NBfP7uBfXnuSLw9,38.916897,-77.022155,
9th Street and F Street NW,9/26/17,September,26,2017,"38.897313, -77.024000",https://goo.gl/maps/4pXKfghuEea2kYYJ8,38.897313,-77.024,
NoMa - Underpass(es),9/28/17,September,28,2017,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - Underpass(es),10/3/17,October,3,2017,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
21st Street and Virginia Avenue NW,10/5/17,October,5,2017,"38.895360, -77.046467",https://goo.gl/maps/NFbNjbbM3rHymNTn9,38.89536,-77.046467,
Whitehurst Freeway - 26th/27th and K NW,10/5/17,October,5,2017,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
Washington Circle,10/5/17,October,5,2017,"38.902516, -77.050162",https://goo.gl/maps/iqe9exdxbDGFxdZM9,38.902516,-77.050162,
17th Street and Corcoran Street NW,10/10/17,October,10,2017,"38.911875, -77.038468",https://goo.gl/maps/1ctzDBWSbUXhydu87,38.911875,-77.038468,
21st Street and Virginia Avenue NW,10/12/17,October,12,2017,"38.895360, -77.046467",https://goo.gl/maps/NFbNjbbM3rHymNTn9,38.89536,-77.046467,
3rd Street and Rhode Island Avenue NW,10/12/17,October,12,2017,"38.914532, -77.015744",https://goo.gl/maps/RKYBN1eLUo3esF1r7,38.914532,-77.015744,
Massachusetts Avenue and G Street NW,10/17/17,October,17,2017,"38.898417, -77.011060",https://goo.gl/maps/TsNgz4NypoGRVF7m6,38.898417,-77.01106,
NoMa - Underpass(es),10/19/17,October,19,2017,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - First Street NE,10/26/17,October,26,2017,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
21st Street and Virginia Avenue NW,11/2/17,November,2,2017,"38.895360, -77.046467",https://goo.gl/maps/NFbNjbbM3rHymNTn9,38.89536,-77.046467,
21st Street and Virginia Avenue NW,11/7/17,November,7,2017,"38.895360, -77.046467",https://goo.gl/maps/NFbNjbbM3rHymNTn9,38.89536,-77.046467,
2300 E Street Expressway NW,11/9/17,November,9,2017,"38.895738, -77.048071",https://goo.gl/maps/MTuB7izmD9ugoGTW9,38.895738,-77.048071,
2300 E Street Expressway NW,11/16/17,November,16,2017,"38.895738, -77.048071",https://goo.gl/maps/MTuB7izmD9ugoGTW9,38.895738,-77.048071,
Seward Square,11/30/17,November,30,2017,"38.885840, -76.999683",https://goo.gl/maps/jqFPJd9GZcKr8YZD8,38.88584,-76.999683,
Whitehurst Freeway - 26th/27th and K NW,12/7/17,December,7,2017,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
3rd Street Tunnel,12/19/17,December,19,2017,"38.893132, -77.014034",https://goo.gl/maps/aUpXLEsqdNBkhadF9,38.893132,-77.014034,
NoMa - Underpass(es),12/21/17,December,21,2017,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
3rd Street Tunnel,12/22/17,December,22,2017,"38.893132, -77.014034",https://goo.gl/maps/aUpXLEsqdNBkhadF9,38.893132,-77.014034,
NoMa - Underpass(es),1/11/18,January,11,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - Underpass(es),1/24/18,January,24,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
2016 Georgia Avenue NW,2/1/18,February,1,2018,"38.916897, -77.022155",https://goo.gl/maps/V4NBfP7uBfXnuSLw9,38.916897,-77.022155,
9th Street and Barry Place NW,2/1/18,February,1,2018,"38.920767, -77.024064",https://goo.gl/maps/4i4peSpy8kmaRiQw9,38.920767,-77.024064,
Columbia Heights Plaza,2/1/18,February,1,2018,"38.930219, -77.032568",https://goo.gl/maps/ZCiwGFLfmDPT3Vwy7,38.930219,-77.032568,
17th Street and Corcoran Street NW,2/6/18,February,6,2018,"38.911875, -77.038468",https://goo.gl/maps/1ctzDBWSbUXhydu87,38.911875,-77.038468,
1240 22nd Street NW,2/6/18,February,6,2018,"38.906379, -77.049057",https://goo.gl/maps/EnW7sVvj7rD3QzzD9,38.906379,-77.049057,
21st Street and Virginia Avenue NW,2/8/18,February,8,2018,"38.895360, -77.046467",https://goo.gl/maps/NFbNjbbM3rHymNTn9,38.89536,-77.046467,
441 4th Street NW,2/15/18,February,15,2018,"38.895472, -77.016178",https://goo.gl/maps/3k4QRdeWLQjzZ8zm7,38.895472,-77.016178,
3rd Street Tunnel,2/15/18,February,15,2018,"38.893132, -77.014034",https://goo.gl/maps/aUpXLEsqdNBkhadF9,38.893132,-77.014034,
NoMa - Underpass(es),2/27/18,February,27,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
7th Street and D Street NW,3/1/18,March,1,2018,"38.894798, -77.021912",https://goo.gl/maps/vaopCMQ6Fev4P2VR6,38.894798,-77.021912,
295 overpass at Sousa Bridge,3/1/18,March,1,2018,NA,NA,NA,NA,Which side of the bridge?
17th Street and Corcoran Street NW,3/6/18,March,6,2018,"38.911875, -77.038468",https://goo.gl/maps/1ctzDBWSbUXhydu87,38.911875,-77.038468,
100 Irving Street NW,3/6/18,March,6,2018,"38.928532, -77.013519",https://goo.gl/maps/Dx4XEhX4DahBWCxb9,38.928532,-77.013519,
NoMa - First Street NE,3/13/18,March,13,2018,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
Whitehurst Freeway - 26th/27th and K NW,3/15/18,March,15,2018,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
Washington Circle,3/23/18,March,23,2018,"38.902516, -77.050162",https://goo.gl/maps/iqe9exdxbDGFxdZM9,38.902516,-77.050162,
Northeast Library,3/27/18,March,27,2018,"38.894373, -76.996437",https://goo.gl/maps/yYKFyVBCRKDHCNGq6,38.894373,-76.996437,
21st Street and Virginia Avenue NW,3/29/18,March,29,2018,"38.895360, -77.046467",https://goo.gl/maps/NFbNjbbM3rHymNTn9,38.89536,-77.046467,
NoMa - Underpass(es),3/30/18,March,30,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
1240 22nd Street NW,4/3/18,April,3,2018,"38.906379, -77.049057",https://goo.gl/maps/EnW7sVvj7rD3QzzD9,38.906379,-77.049057,
Whitehurst Freeway - 26th/27th and K NW,4/5/18,April,5,2018,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
NoMa - Underpass(es),4/5/18,April,5,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - First Street NE,4/10/18,April,10,2018,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
NoMa - First Street NE,4/12/18,April,12,2018,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
3rd Street Tunnel,5/1/18,May,1,2018,"38.893132, -77.014034",https://goo.gl/maps/aUpXLEsqdNBkhadF9,38.893132,-77.014034,
NoMa - Underpass(es),5/3/18,May,3,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
17th Street and L Street NW,5/8/18,May,8,2018,"38.903738, -77.038514",https://goo.gl/maps/q7ozA3BjUGVvWKey5,38.903738,-77.038514,
NoMa - Underpass(es),5/9/18,May,9,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - First Street NE,5/9/18,May,9,2018,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
NoMa - First Street NE,5/10/18,May,10,2018,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
Whitehurst Freeway - 26th/27th and K NW,5/10/18,May,10,2018,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
4250 Connecticut Avenue NW,5/24/18,May,24,2018,"38.944922, -77.064683",https://goo.gl/maps/GZRRevNEZPyzKUBD6,38.944922,-77.064683,
Randall Recreation Center,5/25/18,May,25,2018,"38.879530, -77.009423",https://goo.gl/maps/G8JLL4vrdXucxf6D7,38.87953,-77.009423,
21st Street and Virginia Avenue NW,5/31/18,May,31,2018,"38.895360, -77.046467",https://goo.gl/maps/NFbNjbbM3rHymNTn9,38.89536,-77.046467,
NoMa - Underpass(es),6/7/18,June,7,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - First Street NE,6/21/18,June,21,2018,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
Reeves Center,6/28/18,June,28,2018,"38.917293, -77.032381",https://goo.gl/maps/9RG4TMMvqrMYnJA18,38.917293,-77.032381,
Whitehurst Freeway - 26th/27th and K NW,7/10/18,July,10,2018,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
NoMa - Underpass(es),7/12/18,July,12,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
200 H Street NW,7/12/18,July,12,2018,"38.900229, -77.013997",https://goo.gl/maps/rn7nT4qdyXei5QxGA,38.900229,-77.013997,
NoMa - Underpass(es),7/19/18,July,19,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - First Street NE,7/19/18,July,19,2018,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
21st Street and Virginia Avenue NW,7/26/18,July,26,2018,"38.895360, -77.046467",https://goo.gl/maps/NFbNjbbM3rHymNTn9,38.89536,-77.046467,
NoMa - Underpass(es),7/31/18,July,31,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - Underpass(es),8/14/18,August,14,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - First Street NE,8/14/18,August,14,2018,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
Whitehurst Freeway - 26th/27th and K NW,8/16/18,August,16,2018,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
Reeves Center,8/23/18,August,23,2018,"38.917293, -77.032381",https://goo.gl/maps/9RG4TMMvqrMYnJA18,38.917293,-77.032381,
NoMa - Underpass(es),8/29/18,August,29,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - Underpass(es),8/30/18,August,30,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - First Street NE,8/30/18,August,30,2018,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
21st Street and Virginia Avenue NW,9/4/18,September,4,2018,"38.895360, -77.046467",https://goo.gl/maps/NFbNjbbM3rHymNTn9,38.89536,-77.046467,
NoMa - Underpass(es),9/13/18,September,13,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - First Street NE,9/13/18,September,13,2018,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
Metropolitan Branch Trail and New York Avenue NE,9/21/18,September,21,2018,"38.909825, -77.001933",https://goo.gl/maps/jusndArkFFqaRXxf9,38.909825,-77.001933,
Washington Circle,9/21/18,September,21,2018,"38.902516, -77.050162",https://goo.gl/maps/iqe9exdxbDGFxdZM9,38.902516,-77.050162,
1345 14th Street NW,9/21/18,September,21,2018,"38.908710, -77.031951",https://goo.gl/maps/DEg49MgiN2XQKaGb8,38.90871,-77.031951,
16th Street and L Street NW,9/26/18,September,26,2018,"38.903748, -77.036542",https://goo.gl/maps/3EnbWBoR12p2t27G6,38.903748,-77.036542,
NoMa - Underpass(es),9/27/18,September,27,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - First Street NE,9/27/18,September,27,2018,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
Metropolitan Branch Trail and New York Avenue NE,10/1/18,October,1,2018,"38.909825, -77.001933",https://goo.gl/maps/jusndArkFFqaRXxf9,38.909825,-77.001933,
Whitehurst Freeway - 26th/27th and K NW,10/2/18,October,2,2018,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
8th Street and H Street NW,10/4/18,October,4,2018,"38.899813, -77.022948",https://goo.gl/maps/a2Y9viPjQRqRQEg36,38.899813,-77.022948,
3rd Street and H Street NW,10/9/18,October,9,2018,"38.900248, -77.015233",https://goo.gl/maps/pzF137Tkr2mfBqYNA,38.900248,-77.015233,
12th Street and G Street NW,10/9/18,October,9,2018,"38.898307, -77.028051",https://goo.gl/maps/Z3p9uFEaQLUwLtVr5,38.898307,-77.028051,
1913 Massachusetts Avenue NW,10/9/18,October,9,2018,"38.910073, -77.044691",https://goo.gl/maps/ppEPfkE2jtDTe9B36,38.910073,-77.044691,
NoMa - Underpass(es),10/11/18,October,11,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - First Street NE,10/11/18,October,11,2018,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
Washington Circle,10/16/18,October,16,2018,"38.902516, -77.050162",https://goo.gl/maps/iqe9exdxbDGFxdZM9,38.902516,-77.050162,
Reeves Center,10/18/18,October,18,2018,"38.917293, -77.032381",https://goo.gl/maps/9RG4TMMvqrMYnJA18,38.917293,-77.032381,
NoMa - Underpass(es),10/25/18,October,25,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - First Street NE,10/25/18,October,25,2018,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
660 North Capitol Street NW,10/25/18,October,25,2018,"38.898570, -77.009650",https://goo.gl/maps/23XQxG8wGThAVkKV8,38.89857,-77.00965,
660 North Capitol Street NW,10/30/18,October,30,2018,"38.898570, -77.009650",https://goo.gl/maps/23XQxG8wGThAVkKV8,38.89857,-77.00965,
3rd Street Tunnel,11/1/18,November,1,2018,"38.893132, -77.014034",https://goo.gl/maps/aUpXLEsqdNBkhadF9,38.893132,-77.014034,
NoMa - Underpass(es),11/8/18,November,8,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - First Street NE,11/8/18,November,8,2018,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
Washington Circle,11/13/18,November,13,2018,"38.902516, -77.050162",https://goo.gl/maps/iqe9exdxbDGFxdZM9,38.902516,-77.050162,
NoMa - Underpass(es),11/20/18,November,20,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
45 E Street NW,11/20/18,November,20,2018,"38.896430, -77.011090",https://goo.gl/maps/8aoSYaRtyNV7sCgL6,38.89643,-77.01109,
1156 15th Street NW,11/20/18,November,20,2018,"38.905334, -77.034581",https://goo.gl/maps/dZuq1ae3JbXQDD289,38.905334,-77.034581,
915 15th Street NW,11/20/18,November,20,2018,"38.901843, -77.033370",https://goo.gl/maps/1iexti9W4BUWtjvRA,38.901843,-77.03337,
3rd Street Tunnel,11/27/18,November,27,2018,"38.893132, -77.014034",https://goo.gl/maps/aUpXLEsqdNBkhadF9,38.893132,-77.014034,
NoMa - Underpass(es),11/27/18,November,27,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
21st Street and Virginia Avenue NW,11/29/18,November,29,2018,"38.895360, -77.046467",https://goo.gl/maps/NFbNjbbM3rHymNTn9,38.89536,-77.046467,
Whitehurst Freeway - 26th/27th and K NW,12/4/18,December,4,2018,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
Garfield Park,12/6/18,December,6,2018,"38.881549, -77.003856",https://goo.gl/maps/UsvzkhqhuwrrBjsw6,38.881549,-77.003856,
4th Street and G Street SW,12/6/18,December,6,2018,"38.888940, -77.017550",https://goo.gl/maps/sbHqz4ygqJbJkKyE6,38.88894,-77.01755,
Randall Recreation Center,12/6/18,December,6,2018,"38.879530, -77.009423",https://goo.gl/maps/G8JLL4vrdXucxf6D7,38.87953,-77.009423,
1800 Minnesota Ave SE,12/11/18,December,11,2018,"38.869552, -76.978532",https://goo.gl/maps/dpH66XRePShTkge1A,38.869552,-76.978532,
NoMa - Underpass(es),12/13/18,December,13,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
Reeves Center,12/18/18,December,18,2018,"38.917293, -77.032381",https://goo.gl/maps/9RG4TMMvqrMYnJA18,38.917293,-77.032381,
3149 16th Street NW (Old DPR headquarters),12/18/18,December,18,2018,"38.930124, -77.036369",https://goo.gl/maps/19LuFRBrxZjHVaBd8,38.930124,-77.036369,
Metropolitan Branch Trail and New York Avenue NE,12/20/18,December,20,2018,"38.909825, -77.001933",https://goo.gl/maps/jusndArkFFqaRXxf9,38.909825,-77.001933,
660 North Capitol Street NW,12/20/18,December,20,2018,"38.898570, -77.009650",https://goo.gl/maps/23XQxG8wGThAVkKV8,38.89857,-77.00965,
Garfield Park,12/26/18,December,26,2018,"38.881549, -77.003856",https://goo.gl/maps/UsvzkhqhuwrrBjsw6,38.881549,-77.003856,