field_1,location,date_full,month,day,year,coordinates,latitude,longitude,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"19",Klingle Road NW (Under 3200 Connecticut Ave Bridge),Nov-15,November,N/A,"2015","38.932588, -77.056706","38.932588","-77.056706","11","001","001302","11001001302","13.02",Census Tract 13.02,G5020,S,"1593506","14706","+38.9420430","-077.0556067"
"26",Washington Circle,1/21/16,January,"21","2016","38.902516, -77.050162","38.902516","-77.050162","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"60",Washington Circle,9/20/16,September,"20","2016","38.902516, -77.050162","38.902516","-77.050162","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"64",Washington Circle,10/25/16,October,"25","2016","38.902516, -77.050162","38.902516","-77.050162","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"69",Washington Circle,11/17/16,November,"17","2016","38.902516, -77.050162","38.902516","-77.050162","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"92",Washington Circle,3/29/17,March,"29","2017","38.902516, -77.050162","38.902516","-77.050162","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"95",1500 Connecticut Avenue NW,4/11/17,April,"11","2017","38.910292, -77.043938","38.910292","-77.043938","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"132",Washington Circle,10/5/17,October,"5","2017","38.902516, -77.050162","38.902516","-77.050162","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"154",1240 22nd Street NW,2/6/18,February,"6","2018","38.906379, -77.049057","38.906379","-77.049057","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"164",Washington Circle,3/23/18,March,"23","2018","38.902516, -77.050162","38.902516","-77.050162","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"168",1240 22nd Street NW,4/3/18,April,"3","2018","38.906379, -77.049057","38.906379","-77.049057","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"204",Washington Circle,9/21/18,September,"21","2018","38.902516, -77.050162","38.902516","-77.050162","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"214",1913 Massachusetts Avenue NW,10/9/18,October,"9","2018","38.910073, -77.044691","38.910073","-77.044691","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"217",Washington Circle,10/16/18,October,"16","2018","38.902516, -77.050162","38.902516","-77.050162","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"226",Washington Circle,11/13/18,November,"13","2018","38.902516, -77.050162","38.902516","-77.050162","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"9",New Jersey Avenue and H Street SE (CSX construction site - Under Virginia Ave SE),Jul-15,July,N/A,"2015","38.881074, -77.005846","38.881074","-77.005846","11","001","006500","11001006500","65",Census Tract 65,G5020,S,"504907","0","+38.8838476","-077.0033376"
"56",Seward Square,9/6/16,September,"6","2016","38.885840, -76.999683","38.88584","-76.999683","11","001","006500","11001006500","65",Census Tract 65,G5020,S,"504907","0","+38.8838476","-077.0033376"
"111",Virginia Avenue and South Capitol Street SE,6/6/17,June,"6","2017","38.882278, -77.008994","38.882278","-77.008994","11","001","006500","11001006500","65",Census Tract 65,G5020,S,"504907","0","+38.8838476","-077.0033376"
"115",Seward Square,7/11/17,July,"11","2017","38.885840, -76.999683","38.88584","-76.999683","11","001","006500","11001006500","65",Census Tract 65,G5020,S,"504907","0","+38.8838476","-077.0033376"
"143",Seward Square,11/30/17,November,"30","2017","38.885840, -76.999683","38.88584","-76.999683","11","001","006500","11001006500","65",Census Tract 65,G5020,S,"504907","0","+38.8838476","-077.0033376"
"235",Garfield Park,12/6/18,December,"6","2018","38.881549, -77.003856","38.881549","-77.003856","11","001","006500","11001006500","65",Census Tract 65,G5020,S,"504907","0","+38.8838476","-077.0033376"
"244",Garfield Park,12/26/18,December,"26","2018","38.881549, -77.003856","38.881549","-77.003856","11","001","006500","11001006500","65",Census Tract 65,G5020,S,"504907","0","+38.8838476","-077.0033376"
"32",600 Frontage Road SE,2/4/16,February,"4","2016","38.882924, -77.023533","38.882924","-77.023533","11","001","010200","11001010200","102",Census Tract 102,G5020,S,"1244365","136323","+38.8823937","-077.0230483"
"38",1000 Maine Avenue SW,3/9/16,March,"9","2016","38.881071, -77.026150","38.881071","-77.02615","11","001","010200","11001010200","102",Census Tract 102,G5020,S,"1244365","136323","+38.8823937","-077.0230483"
"43",1300 Maine Avenue SW,5/19/16,May,"19","2016","38.882308, -77.029521","38.882308","-77.029521","11","001","010200","11001010200","102",Census Tract 102,G5020,S,"1244365","136323","+38.8823937","-077.0230483"
"47",1100 Maine Avenue SW,7/5/16,July,"5","2016","38.881701, -77.027838","38.881701","-77.027838","11","001","010200","11001010200","102",Census Tract 102,G5020,S,"1244365","136323","+38.8823937","-077.0230483"
"75",1200 Maine Avenue SW,1/5/17,January,"5","2017","38.881760, -77.027956","38.88176","-77.027956","11","001","010200","11001010200","102",Census Tract 102,G5020,S,"1244365","136323","+38.8823937","-077.0230483"
"76",6th Street and Frontage Road SW,1/5/17,January,"5","2017","38.883236, -77.019969","38.883236","-77.019969","11","001","010200","11001010200","102",Census Tract 102,G5020,S,"1244365","136323","+38.8823937","-077.0230483"
"78",7th Street and D Street SW,1/10/17,January,"10","2017","38.884839, -77.021991","38.884839","-77.021991","11","001","010200","11001010200","102",Census Tract 102,G5020,S,"1244365","136323","+38.8823937","-077.0230483"
"84",6th Street and Frontage Road SW,3/2/17,March,"2","2017","38.883236, -77.019969","38.883236","-77.019969","11","001","010200","11001010200","102",Census Tract 102,G5020,S,"1244365","136323","+38.8823937","-077.0230483"
"86",1200 Maine Avenue SW,3/9/17,March,"9","2017","38.881760, -77.027956","38.88176","-77.027956","11","001","010200","11001010200","102",Census Tract 102,G5020,S,"1244365","136323","+38.8823937","-077.0230483"
"25",100 Irving Street NW,1/19/16,January,"19","2016","38.928532, -77.013519","38.928532","-77.013519","11","001","002302","11001002302","23.02",Census Tract 23.02,G5020,S,"2010229","5298","+38.9341270","-077.0095843"
"161",100 Irving Street NW,3/6/18,March,"6","2018","38.928532, -77.013519","38.928532","-77.013519","11","001","002302","11001002302","23.02",Census Tract 23.02,G5020,S,"2010229","5298","+38.9341270","-077.0095843"
"8",3149 16th Street NW (Old DPR headquarters),Jun-15,June,N/A,"2015","38.930124, -77.036369","38.930124","-77.036369","11","001","002802","11001002802","28.02",Census Tract 28.02,G5020,S,"229696","0","+38.9294344","-077.0346327"
"22",3149 16th Street NW (Old DPR headquarters),Dec-15,December,N/A,"2015","38.930124, -77.036369","38.930124","-77.036369","11","001","002802","11001002802","28.02",Census Tract 28.02,G5020,S,"229696","0","+38.9294344","-077.0346327"
"100",16th Street and Harvard Street NW,4/27/17,April,"27","2017","38.926290, -77.036478","38.92629","-77.036478","11","001","002802","11001002802","28.02",Census Tract 28.02,G5020,S,"229696","0","+38.9294344","-077.0346327"
"241",3149 16th Street NW (Old DPR headquarters),12/18/18,December,"18","2018","38.930124, -77.036369","38.930124","-77.036369","11","001","002802","11001002802","28.02",Census Tract 28.02,G5020,S,"229696","0","+38.9294344","-077.0346327"
"31",1032 21st Street NW,2/3/16,February,"3","2016","38.903105, -77.046632","38.903105","-77.046632","11","001","010700","11001010700","107",Census Tract 107,G5020,S,"891588","0","+38.9039988","-077.0419809"
"42",20th Street and Pennsylvania Avenue NW,5/17/16,May,"17","2016","38.900788, -77.044930","38.900788","-77.04493","11","001","010700","11001010700","107",Census Tract 107,G5020,S,"891588","0","+38.9039988","-077.0419809"
"46",16th Street and I Street NW,6/30/16,June,"30","2016","38.901343, -77.036556","38.901343","-77.036556","11","001","010700","11001010700","107",Census Tract 107,G5020,S,"891588","0","+38.9039988","-077.0419809"
"49",16th Street and I Street NW,7/19/16,July,"19","2016","38.901343, -77.036556","38.901343","-77.036556","11","001","010700","11001010700","107",Census Tract 107,G5020,S,"891588","0","+38.9039988","-077.0419809"
"58",16th Street and K Street NW,9/8/16,September,"8","2016","38.902635, -77.036550","38.902635","-77.03655","11","001","010700","11001010700","107",Census Tract 107,G5020,S,"891588","0","+38.9039988","-077.0419809"
"103",1700 K Street NW,5/9/17,May,"9","2017","38.902430, -77.039976","38.90243","-77.039976","11","001","010700","11001010700","107",Census Tract 107,G5020,S,"891588","0","+38.9039988","-077.0419809"
"175",17th Street and L Street NW,5/8/18,May,"8","2018","38.903738, -77.038514","38.903738","-77.038514","11","001","010700","11001010700","107",Census Tract 107,G5020,S,"891588","0","+38.9039988","-077.0419809"
"206",16th Street and L Street NW,9/26/18,September,"26","2018","38.903748, -77.036542","38.903748","-77.036542","11","001","010700","11001010700","107",Census Tract 107,G5020,S,"891588","0","+38.9039988","-077.0419809"
"77",2nd Street and E Street SW,1/10/17,January,"10","2017","38.883273, -77.013690","38.883273","-77.01369","11","001","010500","11001010500","105",Census Tract 105,G5020,S,"749891","0","+38.8818529","-077.0133789"
"181",Randall Recreation Center,5/25/18,May,"25","2018","38.879530, -77.009423","38.87953","-77.009423","11","001","010500","11001010500","105",Census Tract 105,G5020,S,"749891","0","+38.8818529","-077.0133789"
"237",Randall Recreation Center,12/6/18,December,"6","2018","38.879530, -77.009423","38.87953","-77.009423","11","001","010500","11001010500","105",Census Tract 105,G5020,S,"749891","0","+38.8818529","-077.0133789"
"152",Columbia Heights Plaza,2/1/18,February,"1","2018","38.930219, -77.032568","38.930219","-77.032568","11","001","003000","11001003000","30",Census Tract 30,G5020,S,"210638","0","+38.9288689","-077.0299525"
"15",Whitehurst Freeway - 26th/27th and K NW,Nov-15,November,N/A,"2015","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"16",Whitehurst Freeway - 26th/27th and K NW,Nov-15,November,N/A,"2015","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"17",Whitehurst Freeway - 26th/27th and K NW,Dec-15,December,N/A,"2015","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"51",Whitehurst Freeway - 26th/27th and K NW,7/28/16,July,"28","2016","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"55",Whitehurst Freeway - 26th/27th and K NW,9/1/16,September,"1","2016","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"62",Whitehurst Freeway - 26th/27th and K NW,10/4/16,September,"4","2016","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"66",Whitehurst Freeway - 26th/27th and K NW,11/3/16,November,"3","2016","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"68",2600 L Street NW,11/10/16,November,"10","2016","38.903761, -77.054026","38.903761","-77.054026","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"71",2600 L Street NW,12/8/16,December,"8","2016","38.903761, -77.054026","38.903761","-77.054026","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"72",Whitehurst Freeway - 26th/27th and K NW,12/12/16,December,"12","2016","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"81",Whitehurst Freeway - 26th/27th and K NW,2/14/17,February,"14","2017","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"82",Whitehurst Freeway - 26th/27th and K NW,2/16/17,February,"16","2017","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"83",2600 L Street NW,2/16/17,February,"16","2017","38.903761, -77.054026","38.903761","-77.054026","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"93",Whitehurst Freeway - 26th/27th and K NW,4/4/17,April,"4","2017","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"102",Whitehurst Freeway - 26th/27th and K NW,5/2/17,May,"2","2017","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"116",Whitehurst Freeway - 26th/27th and K NW,7/13/17,July,"13","2017","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"117",Whitehurst Freeway - 26th/27th and K NW,7/18/17,July,"18","2017","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"125",Whitehurst Freeway - 26th/27th and K NW,9/19/17,September,"19","2017","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"131",Whitehurst Freeway - 26th/27th and K NW,10/5/17,October,"5","2017","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"144",Whitehurst Freeway - 26th/27th and K NW,12/7/17,December,"7","2017","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"163",Whitehurst Freeway - 26th/27th and K NW,3/15/18,March,"15","2018","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"169",Whitehurst Freeway - 26th/27th and K NW,4/5/18,April,"5","2018","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"179",Whitehurst Freeway - 26th/27th and K NW,5/10/18,May,"10","2018","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"186",Whitehurst Freeway - 26th/27th and K NW,7/10/18,July,"10","2018","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"195",Whitehurst Freeway - 26th/27th and K NW,8/16/18,August,"16","2018","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"210",Whitehurst Freeway - 26th/27th and K NW,10/2/18,October,"2","2018","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"234",Whitehurst Freeway - 26th/27th and K NW,12/4/18,December,"4","2018","38.902673, -77.055567","38.902673","-77.055567","11","001","005600","11001005600","56",Census Tract 56,G5020,S,"457260","7186","+38.9002000","-077.0538118"
"12",20th Street between E Street and Virginia Avenue NW,Sep-15,September,N/A,"2015","38.892062, -77.019912","38.892062","-77.019912","11","001","006202","11001006202","62.02",Census Tract 62.02,G5020,S,"6539770","4970897","+38.8809933","-077.0363219"
"18",2300 E Street Expressway NW,Nov-15,November,N/A,"2015","38.895738, -77.048071","38.895738","-77.048071","11","001","006202","11001006202","62.02",Census Tract 62.02,G5020,S,"6539770","4970897","+38.8809933","-077.0363219"
"40",600-900 Pennsylvania Avenue NW,3/29/16,March,"29","2016","38.891390, -77.015250","38.89139","-77.01525","11","001","006202","11001006202","62.02",Census Tract 62.02,G5020,S,"6539770","4970897","+38.8809933","-077.0363219"
"89",2300 E Street Expressway NW,3/23/17,March,"23","2017","38.895738, -77.048071","38.895738","-77.048071","11","001","006202","11001006202","62.02",Census Tract 62.02,G5020,S,"6539770","4970897","+38.8809933","-077.0363219"
"99",2nd Street and Massachussets Avenue NW Bus Stop,4/18/17,April,"18","2017","38.892062, -77.019912","38.892062","-77.019912","11","001","006202","11001006202","62.02",Census Tract 62.02,G5020,S,"6539770","4970897","+38.8809933","-077.0363219"
"141",2300 E Street Expressway NW,11/9/17,November,"9","2017","38.895738, -77.048071","38.895738","-77.048071","11","001","006202","11001006202","62.02",Census Tract 62.02,G5020,S,"6539770","4970897","+38.8809933","-077.0363219"
"142",2300 E Street Expressway NW,11/16/17,November,"16","2017","38.895738, -77.048071","38.895738","-77.048071","11","001","006202","11001006202","62.02",Census Tract 62.02,G5020,S,"6539770","4970897","+38.8809933","-077.0363219"
"236",4th Street and G Street SW,12/6/18,December,"6","2018","38.888940, -77.017550","38.88894","-77.01755","11","001","006202","11001006202","62.02",Census Tract 62.02,G5020,S,"6539770","4970897","+38.8809933","-077.0363219"
"11",New Jersey Avenue NW Between I and K Streets (900 block of New Jersey Avenue),Sep-15,September,N/A,"2015","38.901738, -77.013586","38.901738","-77.013586","11","001","004702","11001004702","47.02",Census Tract 47.02,G5020,S,"326350","0","+38.9008608","-077.0136117"
"63",2nd Street and New Jersey Avenue NW,10/11/16,October,"11","2016","38.902092, -77.013656","38.902092","-77.013656","11","001","004702","11001004702","47.02",Census Tract 47.02,G5020,S,"326350","0","+38.9008608","-077.0136117"
"65",2nd Street and New Jersey Avenue NW,11/1/16,November,"1","2016","38.902092, -77.013656","38.902092","-77.013656","11","001","004702","11001004702","47.02",Census Tract 47.02,G5020,S,"326350","0","+38.9008608","-077.0136117"
"104",2nd Street and H Street NW,5/16/17,May,"16","2017","38.900224, -77.013658","38.900224","-77.013658","11","001","004702","11001004702","47.02",Census Tract 47.02,G5020,S,"326350","0","+38.9008608","-077.0136117"
"106",Massachusetts Avenue and New Jersey Avenue NW,5/25/17,May,"25","2017","38.898876, -77.011997","38.898876","-77.011997","11","001","004702","11001004702","47.02",Census Tract 47.02,G5020,S,"326350","0","+38.9008608","-077.0136117"
"119",Massachusetts Avenue and 2nd Street NW,7/25/17,July,"25","2017","38.899614, -77.013836","38.899614","-77.013836","11","001","004702","11001004702","47.02",Census Tract 47.02,G5020,S,"326350","0","+38.9008608","-077.0136117"
"136",Massachusetts Avenue and G Street NW,10/17/17,October,"17","2017","38.898417, -77.011060","38.898417","-77.01106","11","001","004702","11001004702","47.02",Census Tract 47.02,G5020,S,"326350","0","+38.9008608","-077.0136117"
"188",200 H Street NW,7/12/18,July,"12","2018","38.900229, -77.013997","38.900229","-77.013997","11","001","004702","11001004702","47.02",Census Tract 47.02,G5020,S,"326350","0","+38.9008608","-077.0136117"
"212",3rd Street and H Street NW,10/9/18,October,"9","2018","38.900248, -77.015233","38.900248","-77.015233","11","001","004702","11001004702","47.02",Census Tract 47.02,G5020,S,"326350","0","+38.9008608","-077.0136117"
"221",660 North Capitol Street NW,10/25/18,October,"25","2018","38.898570, -77.009650","38.89857","-77.00965","11","001","004702","11001004702","47.02",Census Tract 47.02,G5020,S,"326350","0","+38.9008608","-077.0136117"
"222",660 North Capitol Street NW,10/30/18,October,"30","2018","38.898570, -77.009650","38.89857","-77.00965","11","001","004702","11001004702","47.02",Census Tract 47.02,G5020,S,"326350","0","+38.9008608","-077.0136117"
"243",660 North Capitol Street NW,12/20/18,December,"20","2018","38.898570, -77.009650","38.89857","-77.00965","11","001","004702","11001004702","47.02",Census Tract 47.02,G5020,S,"326350","0","+38.9008608","-077.0136117"
"205",1345 14th Street NW,9/21/18,September,"21","2018","38.908710, -77.031951","38.90871","-77.031951","11","001","005201","11001005201","52.01",Census Tract 52.01,G5020,S,"339712","0","+38.9102026","-077.0341232"
"7",17th Street and Corcoran Street NW,Jun-15,June,N/A,"2015","38.911875, -77.038468","38.911875","-77.038468","11","001","005301","11001005301","53.01",Census Tract 53.01,G5020,S,"286403","0","+38.9107789","-077.0389515"
"23",1636 R Street NW,Dec-15,December,N/A,"2015","38.912608, -77.037969","38.912608","-77.037969","11","001","005301","11001005301","53.01",Census Tract 53.01,G5020,S,"286403","0","+38.9107789","-077.0389515"
"61",1701 Corcoran Street NW,9/20/16,September,"20","2016","38.912003, -77.038928","38.912003","-77.038928","11","001","005301","11001005301","53.01",Census Tract 53.01,G5020,S,"286403","0","+38.9107789","-077.0389515"
"85",17th Street and Corcoran Street NW,3/2/17,March,"2","2017","38.911875, -77.038468","38.911875","-77.038468","11","001","005301","11001005301","53.01",Census Tract 53.01,G5020,S,"286403","0","+38.9107789","-077.0389515"
"109",1701 Corcoran Street NW,6/1/17,June,"1","2017","38.912003, -77.038928","38.912003","-77.038928","11","001","005301","11001005301","53.01",Census Tract 53.01,G5020,S,"286403","0","+38.9107789","-077.0389515"
"133",17th Street and Corcoran Street NW,10/10/17,October,"10","2017","38.911875, -77.038468","38.911875","-77.038468","11","001","005301","11001005301","53.01",Census Tract 53.01,G5020,S,"286403","0","+38.9107789","-077.0389515"
"153",17th Street and Corcoran Street NW,2/6/18,February,"6","2018","38.911875, -77.038468","38.911875","-77.038468","11","001","005301","11001005301","53.01",Census Tract 53.01,G5020,S,"286403","0","+38.9107789","-077.0389515"
"160",17th Street and Corcoran Street NW,3/6/18,March,"6","2018","38.911875, -77.038468","38.911875","-77.038468","11","001","005301","11001005301","53.01",Census Tract 53.01,G5020,S,"286403","0","+38.9107789","-077.0389515"
"238",1800 Minnesota Ave SE,12/11/18,December,"11","2018","38.869552, -76.978532","38.869552","-76.978532","11","001","007601","11001007601","76.01",Census Tract 76.01,G5020,S,"1115359","141529","+38.8716327","-076.9798185"
"185",Reeves Center,6/28/18,June,"28","2018","38.917293, -77.032381","38.917293","-77.032381","11","001","004300","11001004300","43",Census Tract 43,G5020,S,"236694","0","+38.9168040","-077.0341511"
"196",Reeves Center,8/23/18,August,"23","2018","38.917293, -77.032381","38.917293","-77.032381","11","001","004300","11001004300","43",Census Tract 43,G5020,S,"236694","0","+38.9168040","-077.0341511"
"218",Reeves Center,10/18/18,October,"18","2018","38.917293, -77.032381","38.917293","-77.032381","11","001","004300","11001004300","43",Census Tract 43,G5020,S,"236694","0","+38.9168040","-077.0341511"
"240",Reeves Center,12/18/18,December,"18","2018","38.917293, -77.032381","38.917293","-77.032381","11","001","004300","11001004300","43",Census Tract 43,G5020,S,"236694","0","+38.9168040","-077.0341511"
"87",Mitchell Park - 23rd Street and S Street NW,3/21/17,March,"21","2017","38.914424, -77.049883","38.914424","-77.049883","11","001","004100","11001004100","41",Census Tract 41,G5020,S,"789132","23020","+38.9159337","-077.0516151"
"229",1156 15th Street NW,11/20/18,November,"20","2018","38.905334, -77.034581","38.905334","-77.034581","11","001","010100","11001010100","101",Census Tract 101,G5020,S,"580133","0","+38.9026943","-077.0318400"
"230",915 15th Street NW,11/20/18,November,"20","2018","38.901843, -77.033370","38.901843","-77.03337","11","001","010100","11001010100","101",Census Tract 101,G5020,S,"580133","0","+38.9026943","-077.0318400"
"1",I-395 H Street NW and Massachusetts Avenue NW (Capitol Crossing Construction Sites),Mar-15,March,N/A,"2015","38.898902, -77.014169","38.898902","-77.014169","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"6",I-395 H Street NW and Massachusetts Avenue NW (Capitol Crossing Construction Sites),Jun-15,June,N/A,"2015","38.898902, -77.014169","38.898902","-77.014169","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"13",3rd Street and E Street NW (Behind 441 4th building),Oct-15,October,N/A,"2015","38.896113, -77.015166","38.896113","-77.015166","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"34",700 3rd Street NW,2/25/16,February,"25","2016","38.898325, -77.015232","38.898325","-77.015232","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"35",3rd Street Tunnel,3/1/16,March,"1","2016","38.893132, -77.014034","38.893132","-77.014034","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"36",3rd Street Tunnel,3/2/16,March,"2","2016","38.893132, -77.014034","38.893132","-77.014034","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
