coc_code,coc_name,overall_change_2014_2018,rank_overall_change_2014_2018,overall_homeless_2014,overall_homeless_2018
ca-600,los angeles city & county coc,15562,1,34393,49955
ny-600,new york city coc,10866,2,67810,78676
wa-500,seattle/king county coc,3163,3,8949,12112
or-505,oregon balance of state coc,2270,4,4122,6392
co-500,colorado balance of state coc,1801,5,2188,3989
ca-502,"oakland, berkeley/alameda county coc",1224,6,4272,5496
ca-613,imperial county coc,1195,7,298,1493
ca-503,sacramento city & county coc,1172,8,2449,3621
ca-602,"santa ana, anaheim/orange county coc",1122,9,3833,4955
nj-504,newark/essex county coc,745,10,1483,2228
ma-502,lynn coc,679,11,382,1061
ma-504,springfield/hampden county coc,678,12,2690,3368
ny-603,"nassau, suffolk counties coc",661,13,3207,3868
tx-600,"dallas city & county, irving coc",607,14,3514,4121
ca-516,"redding/shasta, siskiyou, lassen, plumas, del norte, modoc, sierra counties coc",519,15,630,1149
ca-525,el dorado county coc,450,16,195,645
ca-501,san francisco coc,449,17,6408,6857
wa-501,washington balance of state coc,430,18,5236,5666
ca-519,"chico, paradise/butte county coc",429,19,696,1125
nv-501,"reno, sparks/washoe county coc",423,20,769,1192
ca-507,marin county coc,416,21,679,1095
az-502,"phoenix, mesa/maricopa county coc",380,22,5918,6298
ca-506,"salinas/monterey, san benito counties coc",337,23,2962,3299
co-504,colorado springs/el paso county coc,332,24,1219,1551
fl-604,monroe county coc,295,25,678,973
fl-606,naples/collier county coc,292,26,361,653
sd-500,south dakota statewide coc,274,27,885,1159
ca-505,richmond/contra costa county coc,225,28,2009,2234
ok-504,norman/cleveland county coc,224,29,140,364
or-503,central oregon coc,219,30,568,787
tx-611,amarillo coc,214,31,451,665
ca-513,"visalia/kings, tulare counties coc",204,32,763,967
ma-500,boston coc,201,33,5987,6188
ca-510,"turlock, modesto/stanislaus county coc",200,34.5,1156,1356
fl-520,"citrus, hernando, lake, sumter counties coc",200,34.5,511,711
ma-508,lowell coc,195,36,588,783
oh-503,columbus/franklin county coc,193,37,1614,1807
md-505,baltimore county coc,189,38,569,758
ca-515,"roseville, rocklin/placer, nevada counties coc",188,39,762,950
ny-503,albany city & county coc,185,40,650,835
de-500,delaware statewide coc,181,41,901,1082
tx-500,san antonio/bexar county coc,174,42,2892,3066
wa-503,"tacoma, lakewood/pierce county coc",164,43,1464,1628
ak-501,alaska balance of state coc,161,44,761,922
tx-503,austin/travis county coc,160,45,1987,2147
ny-507,schenectady city & county coc,150,46,243,393
ny-608,kingston/ulster county coc,123,47,341,464
ut-503,utah balance of state coc,117,48,782,899
fl-515,"panama city/bay, jackson counties coc",113,49,268,381
or-502,"medford, ashland/jackson county coc",107,50,625,732
va-501,"norfolk/chesapeake, suffolk, isle of wight, southampton counties coc",105,51,668,773
fl-506,tallahassee/leon county coc,104,52,805,909
wa-508,vancouver/clark county coc,100,53,695,795
ca-511,stockton/san joaquin county coc,97,54,1588,1685
wa-502,spokane city & county coc,96,55,1149,1245
md-512,hagerstown/washington county coc,92,57,107,199
ny-514,"jamestown, dunkirk/chautauqua county coc",92,57,53,145
or-501,"portland, gresham/multnomah county coc",92,57,3927,4019
ny-513,"wayne, ontario, seneca, yates counties coc",90,59,92,182
nm-500,albuquerque coc,86,60,1254,1340
ok-501,tulsa city & county coc,73,61,1010,1083
ak-500,anchorage coc,71,62.5,1023,1094
oh-500,cincinnati/hamilton county coc,71,62.5,1043,1114
ca-601,san diego city and county coc,70,64.5,8506,8576
md-509,frederick city & county coc,70,64.5,246,316
ny-519,"columbia, greene counties coc",68,66,128,196
wi-502,racine city & county coc,65,67,210,275
ny-516,clinton county coc,64,68.5,133,197
tn-504,nashville-davidson county coc,64,68.5,2234,2298
ma-505,new bedford coc,60,70,349,409
nj-516,"warren, sussex, hunterdon counties coc",59,71.5,279,338
ny-602,"newburgh, middletown/orange county coc",59,71.5,421,480
nj-511,paterson/passaic county coc,58,73.5,376,434
ny-607,sullivan county coc,58,73.5,131,189
ma-506,worcester city & county coc,56,75.5,1796,1852
va-521,virginia balance of state coc,56,75.5,662,718
ny-606,rockland county coc,55,77.5,125,180
va-513,"harrisburg, winchester/western virginia coc",55,77.5,249,304
nh-500,new hampshire balance of state coc,53,79,689,742
pa-500,philadelphia coc,50,80,5738,5788
md-506,carroll county coc,49,81.5,124,173
pa-501,harrisburg/dauphin county coc,49,81.5,396,445
mo-500,st. louis county coc,48,83,402,450
al-502,florence/northwest alabama coc,47,84,209,256
nc-513,chapel hill/orange county coc,44,85.5,108,152
ny-510,ithaca/tompkins county coc,44,85.5,47,91
ca-524,yuba city & county/sutter county coc,39,87.5,726,765
nj-506,"jersey city, bayonne/hudson county coc",39,87.5,821,860
ca-517,napa city & county coc,37,89,285,322
la-507,alexandria/central louisiana coc,36,90,141,177
il-506,"joliet, bolingbrook/will county coc",32,92,309,341
mi-510,saginaw city & county coc,32,92,325,357
mn-508,moorhead/west central minnesota coc,32,92,214,246
ar-505,southeast arkansas coc,31,94,70,101
md-511,mid-shore regional coc,30,95,111,141
il-517,"aurora, elgin/kane county coc",25,96.5,405,430
tn-510,murfreesboro/rutherford county coc,25,96.5,258,283
mi-515,monroe city & county coc,24,99,185,209
nc-501,asheville/buncombe county coc,24,99,530,554
ut-504,provo/mountainland coc,24,99,149,173
ma-515,fall river coc,23,101,354,377
pa-512,york city & county coc,22,102.5,302,324
pa-603,beaver county coc,22,102.5,95,117
nh-501,manchester coc,20,104,407,427
ny-518,"utica, rome/oneida, madison counties coc",19,105,159,178
ca-526,"amador, calaveras, mariposa, tuolumne counties coc",16,106.5,382,398
fl-503,"lakeland, winterhaven/polk county coc",16,106.5,536,552
mn-502,rochester/southeast minnesota coc,15,108,482,497
al-507,alabama balance of state coc,14,109,716,730
il-500,mchenry county coc,13,110,166,179
nc-506,"wilmington/brunswick, new hanover, pender counties coc",12,111,321,333
ca-607,pasadena coc,11,112.5,666,677
wv-500,"wheeling, weirton area coc",11,112.5,97,108
ma-509,cambridge coc,10,114,551,561
nj-509,morris county coc,9,116,389,398
ok-505,northeast oklahoma coc,9,116,383,392
tx-701,"bryan, college station/brazos valley coc",9,116,188,197
ar-500,little rock/central arkansas coc,7,118,1074,1081
ca-521,"davis, woodland/yolo county coc",6,119,442,448
il-509,dekalb city & county coc,4,120.5,96,100
mo-603,"st. joseph/andrew, buchanan, dekalb counties coc",4,120.5,200,204
id-500,boise/ada county coc,3,122,753,756
il-513,springfield/sangamon county coc,2,123.5,269,271
md-510,garrett county coc,2,123.5,13,15
ks-505,"overland park, shawnee/johnson county coc",1,125.5,167,168
nh-502,nashua/hillsborough county coc,1,125.5,280,281
ny-504,cattaragus county coc,0,127,33,33
ne-500,nebraska balance of state coc,-1,128.5,560,559
va-514,"fredericksburg/spotsylvania, stafford counties coc",-1,128.5,201,200
md-504,howard county coc,-2,130,170,168
ny-500,"rochester, irondequoit, greece/monroe county coc",-3,131,838,835
mi-523,eaton county coc,-4,133.5,126,122
mn-509,duluth/st.louis county coc,-4,133.5,429,425
ny-601,poughkeepsie/dutchess county coc,-4,133.5,403,399
tn-500,chattanooga/southeast tennessee coc,-4,133.5,627,623
il-507,"peoria, pekin/fulton, tazewell, peoria, woodford counties coc",-5,136.5,405,400
ny-523,"glens falls, saratoga springs/saratoga, washington, warren, hamilton counties co",-5,136.5,262,257
ks-503,topeka/shawnee county coc,-8,138,416,408
mi-508,"lansing, east lansing/ingham county coc",-10,139.5,429,419
mi-513,"marquette, alger counties coc",-10,139.5,80,70
ma-519,"attleboro, taunton/bristol county coc",-14,141,222,208
or-506,"hillsboro, beaverton/washington county coc",-15,142,537,522
il-503,"champaign, urbana, rantoul/champaign county coc",-17,143.5,205,188
nj-501,bergen county coc,-17,143.5,371,354
md-503,annapolis/anne arundel county coc,-18,145.5,384,366
tn-503,central tennessee coc,-18,145.5,286,268
il-518,"rock island, moline/northwestern illinois coc",-20,148,218,198
ma-517,somerville coc,-20,148,154,134
ok-500,north central oklahoma coc,-20,148,201,181
mi-511,lenawee county coc,-21,150.5,138,117
va-504,charlottesville coc,-21,150.5,204,183
ma-503,cape cod islands coc,-23,153,381,358
mn-505,st. cloud/central minnesota coc,-23,153,607,584
pa-509,eastern pennsylvania coc,-23,153,2021,1998
mn-506,northwest minnesota coc,-25,155.5,299,274
va-507,portsmouth coc,-25,155.5,160,135
il-515,south central illinois coc,-26,157,118,92
pa-503,"wilkes-barre, hazleton/luzerne county coc",-27,158,192,165
wv-501,"huntington/cabell, wayne counties coc",-28,159,218,190
mi-504,"pontiac, royal oak/oakland county coc",-30,160,457,427
ca-612,glendale coc,-32,161,292,260
ia-500,"sioux city/dakota, woodbury counties coc",-33,163,297,264
la-505,monroe/northeast louisiana coc,-33,163,220,187
md-502,harford county coc,-33,163,223,190
ga-503,athens-clarke county coc,-35,165,247,212
ga-505,columbus-muscogee/russell county coc,-36,166.5,312,276
ny-520,"franklin, essex counties coc",-36,166.5,78,42
ny-512,troy/rensselaer county coc,-38,168,216,178
mo-602,"joplin/jasper, newton counties coc",-40,169,315,275
md-500,cumberland/allegany county coc,-41,170.5,120,79
va-603,alexandria coc,-41,170.5,267,226
pa-506,reading/berks county coc,-42,172,604,562
il-520,southern illinois coc,-43,174.5,325,282
tx-624,"wichita falls/wise, palo pinto, wichita, archer counties coc",-43,174.5,281,238
va-602,loudoun county coc,-43,174.5,177,134
wv-503,"charleston/kanawha, putnam, boone, clay counties coc",-43,174.5,360,317
md-513,"wicomico, somerset, worcester counties coc",-44,177,336,292
mi-518,livingston county coc,-45,178,135,90
al-501,mobile city & county/baldwin county coc,-47,179,598,551
mi-514,battle creek/calhoun county coc,-48,180.5,284,236
ok-506,southwest oklahoma regional coc,-48,180.5,239,191
md-601,montgomery county coc,-51,182,891,840
ny-522,"jefferson, lewis, st. lawrence counties coc",-53,183,149,96
ks-502,wichita/sedgwick county coc,-58,184.5,631,573
tx-604,waco/mclennan county coc,-58,184.5,246,188
md-501,baltimore coc,-59,186,2567,2508
ok-503,oklahoma balance of state coc,-62,187,295,233
ny-511,"binghamton, union town/broome, otsego, chenango, delaware, cortland, tioga count",-65,188.5,309,244
sc-500,charleston/low country coc,-65,188.5,516,451
md-507,cecil county coc,-66,190,195,129
la-506,slidell/southeast louisiana coc,-68,191,262,194
mi-506,"grand rapids, wyoming/kent county coc",-70,192.5,793,723
va-600,arlington county coc,-70,192.5,291,221
va-604,prince william county coc,-71,194,445,374
pa-605,erie city & county coc,-72,195,408,336
mi-503,"st. clair shores, warren/macomb county coc",-73,196,343,270
nc-500,winston-salem/forsyth county coc,-75,197,515,440
mn-501,saint paul/ramsey county coc,-76,198.5,1500,1424
oh-504,youngstown/mahoning county coc,-76,198.5,256,180
ar-501,fayetteville/northwest arkansas coc,-77,200,551,474
il-519,west central illinois coc,-78,201,145,67
ms-503,gulf port/gulf coast regional coc,-80,202,426,346
tn-506,upper cumberland coc,-84,203,342,258
va-505,"newport news, hampton/virginia peninsula coc",-86,204,525,439
il-508,"east st. louis, belleville/st. clair county coc",-89,205.5,339,250
ri-500,rhode island statewide coc,-89,205.5,1190,1101
wa-504,everett/snohomish county coc,-91,207,949,858
nc-509,"gastonia/cleveland, gaston, lincoln counties coc",-92,208.5,423,331
pa-510,lancaster city & county coc,-92,208.5,498,406
il-504,madison county coc,-94,210,240,146
id-501,idaho balance of state coc,-95,213,1351,1256
il-516,decatur/macon county coc,-95,213,256,161
pa-502,"upper darby, chester, haverford/delaware county coc",-95,213,509,414
pa-511,"bristol, bensalem/bucks county coc",-95,213,492,397
vt-500,vermont balance of state coc,-95,213,1027,932
pa-505,chester county coc,-100,216,679,579
nv-502,nevada balance of state coc,-101,217,370,269
ma-507,"pittsfield/berkshire, franklin, hampshire counties coc",-102,218,753,651
nj-513,somerset county coc,-105,219,323,218
ca-604,bakersfield/kern county coc,-107,220.5,992,885
nj-500,atlantic city & county coc,-107,220.5,544,437
la-500,lafayette/acadiana coc,-108,222.5,471,363
va-508,lynchburg coc,-108,222.5,220,112
mn-503,"dakota, anoka, washington, scott, carver counties",-110,224.5,735,625
mn-504,northeast minnesota coc,-110,224.5,200,90
oh-505,"dayton, kettering/montgomery county coc",-111,226,791,680
al-503,huntsville/north alabama coc,-112,227,536,424
mi-507,"portage, kalamazoo city & county coc",-114,228,681,567
mn-511,southwest minnesota coc,-115,229,180,65
tn-502,knoxville/knox county coc,-118,230.5,861,743
wy-500,wyoming statewide coc,-118,230.5,757,639
ca-611,"oxnard, san buenaventura/ventura county coc",-120,232,1428,1308
al-504,montgomery city & county coc,-121,233,490,369
ia-502,des moines/polk county coc,-122,234,886,764
va-502,"roanoke city & county, salem coc",-123,235,440,317
ca-603,santa maria/santa barbara county coc,-126,236.5,1832,1706
or-500,"eugene, springfield/lane county coc",-126,236.5,1767,1641
pa-508,scranton/lackawanna county coc,-128,238,287,159
ny-508,"buffalo, niagara falls/erie, niagara, orleans, genesee, wyoming counties coc",-131,239,1088,957
ct-505,connecticut balance of state coc,-132,240.5,3367,3235
il-502,"waukegan, north chicago/lake county coc",-132,240.5,409,277
tn-512,"morristown/blount, sevier, campbell, cocke counties coc",-135,242,933,798
ga-506,marietta/cobb county coc,-139,243,523,384
fl-603,"ft myers, cape coral/lee county coc",-143,244,871,728
oh-501,toledo/lucas county coc,-147,245.5,809,662
pa-504,"lower merion, norristown, abington/montgomery county coc",-147,245.5,438,291
fl-501,tampa/hillsborough county coc,-149,247,1944,1795
ky-500,kentucky balance of state coc,-152,248,2229,2077
nj-514,trenton/mercer county coc,-153,249,632,479
il-501,"rockford/winnebago, boone counties coc",-154,250,410,256
mi-517,jackson city & county coc,-159,251,240,81
mi-512,"grand traverse, antrim, leelanau counties coc",-161,252.5,396,235
mi-519,holland/ottawa county coc,-161,252.5,387,226
wi-503,madison/dane county coc,-163,254,777,614
ca-518,vallejo/solano county coc,-166,255,1295,1129
hi-500,hawaii balance of state coc,-171,256,2206,2035
vt-501,burlington/chittenden county coc,-173,257,532,359
mo-600,"springfield/greene, christian, webster counties coc",-177,258,656,479
nj-502,burlington county coc,-180,259,1020,840
md-600,prince george's county coc,-181,260,659,478
mo-606,missouri balance of state coc,-183,261,1528,1345
fl-500,"sarasota, bradenton/manatee, sarasota counties coc",-185,262,1377,1192
nc-507,raleigh/wake county coc,-187,263,1170,983
al-506,tuscaloosa city & county coc,-188,264,245,57
ca-609,san bernardino city & county coc,-197,266,2315,2118
mi-505,flint/genesee county coc,-197,266,635,438
va-503,virginia beach coc,-197,266,440,243
ok-507,southeastern oklahoma regional coc,-198,268,442,244
fl-507,"orlando/orange, osceola, seminole counties coc",-201,269,2254,2053
ga-504,augusta-richmond county coc,-203,270,472,269
nc-503,north carolina balance of state coc,-204,271,3195,2991
nj-507,new brunswick/middlesex county coc,-205,272,802,597
in-503,indianapolis coc,-208,273,1890,1682
me-500,maine statewide coc,-210,274,2726,2516
az-500,arizona balance of state coc,-211,275.5,2398,2187
fl-511,"pensacola/escambia, santa rosa counties coc",-211,275.5,843,632
hi-501,honolulu city and county coc,-217,277,4712,4495
ia-501,iowa balance of state coc,-218,278,1939,1721
ne-501,"omaha, council bluffs coc",-219,279,1630,1411
sc-503,"myrtle beach, sumter city & county coc",-225,280,1317,1092
ca-522,humboldt county coc,-229,281,932,703
or-507,clackamas county coc,-235,282,618,383
va-500,"richmond/henrico, chesterfield, hanover counties coc",-237,283,846,609
tn-509,appalachian regional coc,-238,284.5,598,360
va-601,fairfax county coc,-238,284.5,1225,987
nc-504,"greensboro, high point coc",-240,286,897,657
mi-502,"dearborn, dearborn heights, westland/wayne county coc",-245,287,456,211
nj-508,monmouth county coc,-253,288.5,588,335
oh-508,"canton, massillon, alliance/stark county coc",-253,288.5,531,278
ca-520,merced city & county coc,-254,290,768,514
fl-510,"jacksonville-duval, clay counties coc",-255,291,2049,1794
mi-509,washtenaw county coc,-263,292,545,282
nj-510,lakewood township/ocean county coc,-273,293,627,354
ny-501,"elmira/steuben, allegany, livingston, chemung, schuyler counties coc",-279,294,512,233
la-502,"shreveport, bossier/northwest louisiana coc",-280,295,655,375
nc-511,fayetteville/cumberland county coc,-281,296.5,653,372
nm-501,new mexico balance of state coc,-281,296.5,1492,1211
il-512,bloomington/central illinois coc,-282,298,669,387
oh-506,"akron, barberton/summit county coc",-283,299,870,587
fl-605,west palm beach/palm beach county coc,-287,300,1596,1309
ar-503,arkansas  balance of state  coc,-288,301,1056,768
oh-502,cleveland/cuyahoga county coc,-295,302,2103,1808
ok-502,oklahoma city coc,-298,303,1481,1183
ca-523,"colusa, glenn, trinity counties coc",-299,304,567,268
la-509,louisiana balance of state coc,-301,305,876,575
ny-505,"syracuse, auburn/onondaga, oswego, cayuga counties coc",-302,306,1024,722
ga-507,savannah/chatham county coc,-306,307,1315,1009
il-511,cook county coc,-309,308,1182,873
ny-604,"yonkers, mount vernon/westchester county coc",-311,309,2138,1827
ca-500,san jose/santa clara city & county coc,-313,310,7567,7254
mt-500,montana statewide coc,-340,311,1745,1405
ct-503,"bridgeport, stamford, norwalk/fairfield county coc",-342,312,1083,741
fl-514,ocala/marion county coc,-346,314,918,572
nc-505,charlotte/mecklenberg coc,-346,314,2014,1668
ut-500,salt lake city & county coc,-346,314,2150,1804
fl-602,punta gorda/charlotte county coc,-347,316,511,164
pa-601,western pennsylvania coc,-353,317,1101,748
il-514,dupage county coc,-359,318,654,295
mo-503,"st. charles city & county, lincoln, warren counties coc",-364,319,896,532
tx-603,el paso city & county coc,-368,320,1260,892
sc-502,columbia/midlands coc,-383,321,1588,1205
ne-502,lincoln coc,-385,322,836,451
ks-507,kansas balance of state coc,-389,323,1307,918
ky-501,louisville-jefferson county coc,-390,324,1316,926
ms-501,mississippi balance of state coc,-394,325,954,560
mo-604,"kansas city, independence, leeâ€™s summit/jackson, wyandotte counties, mo & ks",-395,326,2193,1798
ms-500,"jackson/rankin, madison counties coc",-400,327,846,446
mo-501,st.louis city coc,-405,328.5,1354,949
nc-516,northwest north carolina coc,-405,328.5,854,449
tx-601,"fort worth, arlington/tarrant county coc",-410,330,2425,2015
wi-500,wisconsin balance of state coc,-422,331,3569,3147
mi-516,"norton shores, muskegon city & county coc",-425,332,584,159
al-500,"birmingham/jefferson, st. clair, shelby counties coc",-428,333,1329,901
ca-514,fresno city & county/madera county coc,-448,334.5,2592,2144
fl-601,ft lauderdale/broward county coc,-448,334.5,2766,2318
tn-501,memphis/shelby county coc,-449,336,1675,1226
sc-501,"greenville, anderson, spartanburg/upstate coc",-451,337,1636,1185
nc-502,durham city & county coc,-473,338,811,338
fl-508,"gainesville/alachua, putnam counties coc",-500,339,1256,756
in-502,indiana balance of state coc,-505,340,4081,3576
ca-509,mendocino county coc,-524,341,1404,880
ma-511,"quincy, brockton, weymouth, plymouth city and county coc",-553,342,1643,1090
tn-507,jackson/west tennessee coc,-575,343,1601,1026
fl-518,"columbia, hamilton, lafayette, suwannee counties coc",-577,344,1070,493
wi-501,milwaukee city & county coc,-628,345,1499,871
ca-608,riverside city & county coc,-629,346,2945,2316
fl-600,miami-dade county coc,-640,347,4156,3516
md-508,"charles, calvert, st.mary's counties coc",-649,348,1141,492
oh-507,ohio balance of state coc,-673,349,3806,3133
fl-519,pasco county coc,-688,350,3356,2668
nj-503,"camden city & county/gloucester, cape may, cumberland counties coc",-696,351,1695,999
wv-508,west virginia balance of state coc,-710,352,1338,628
nd-500,north dakota statewide coc,-716,353,1258,542
mn-500,minneapolis/hennepin county coc,-718,354,3731,3013
fl-513,"palm bay, melbourne/brevard county coc",-743,355,1477,734
ma-510,"gloucester, haverhill, salem/essex county coc",-755,356,1487,732
fl-502,"st. petersburg, clearwater, largo/pinellas county coc",-779,357,3391,2612
ca-512,daly/san mateo county coc,-786,358,2024,1238
pa-600,"pittsburgh, mckeesport, penn hills/allegheny county coc",-790,359,1573,783
la-503,new orleans/jefferson parish coc,-793,360,1981,1188
az-501,tucson/pima county coc,-799,361,2179,1380
il-510,chicago coc,-837,362,6287,5450
dc-500,district of columbia coc,-844,363,7748,6904
ky-502,lexington-fayette county coc,-859,364,1544,685
ca-606,long beach coc,-865,365,2738,1873
fl-517,"hendry, hardee, highlands counties coc",-893,366,1346,453
mi-500,michigan balance of state coc,-910,367,2253,1343
fl-504,"daytona beach, daytona/volusia, flagler counties coc",-950,368,1633,683
mi-501,detroit coc,-986,369,2755,1769
fl-509,"fort pierce/st. lucie, indian river, martin counties coc",-1049,370,2591,1542
fl-512,st. johns county coc,-1059,371,1401,342
fl-505,"fort walton beach/okaloosa, walton counties coc",-1082,372,1577,495
tx-700,"houston, pasadena, conroe/harris, ft. bend, montgomery, counties coc",-1165,373,5308,4143
nj-515,elizabeth/union county coc,-1201,374,1679,478
ca-508,watsonville/santa cruz city & county coc,-1209,375,3529,2320
ca-504,"santa rosa, petaluma/sonoma county coc",-1270,376,4266,2996
ca-614,san luis obispo county coc,-1271,377,2366,1095
co-503,metropolitan denver coc,-1304,378,6621,5317
nv-500,las vegas/clark county coc,-1360,379,7443,6083
ma-516,massachusetts balance of state coc,-1604,380,3900,2296
ga-500,atlanta coc,-1721,381,4797,3076
tx-607,texas balance of state coc,-2305,382,9943,7638
ga-501,georgia balance of state coc,-3847,383,7577,3730
